"business_name","category","full_address","area","city","state","country","phone_number","website","google_maps_url","rating","review_count","latitude","longitude","audit_mobile_responsive","audit_https","audit_navigation","audit_ui_design","audit_typography","audit_cta","audit_contact_visibility","audit_images","audit_branding","audit_loading_speed","audit_accessibility","website_score","website_classification"
"La Grande Boucherie","French restaurant","145 W 53rd St, New York, NY 10019","Manhattan","New York","New York","US","+12125107714","https://www.boucherieus.com/","https://www.google.com/maps/search/?api=1&query=La%20Grande%20Boucherie&query_place_id=ChIJ58OtM8pZwokRbd6DT6gcVys",4.6,10696,40.7626274,-73.9808411,true,true,true,true,true,true,true,true,true,true,true,100,"Excellent"
"Manhatta","New American restaurant","28 Liberty St 60th floor, New York, NY 10005","Manhattan","New York","New York","US","+12122305788","https://www.manhattarestaurant.com/restaurant-menu/","https://www.google.com/maps/search/?api=1&query=Manhatta&query_place_id=ChIJoTXWl8dbwokRpKA2BJFVsGA",4.7,3953,40.7079974,-74.0088826,true,true,true,true,true,true,false,true,true,true,true,91,"Excellent"
"Sant Ambroeus Brookfield","Italian restaurant","230 Vesey St, New York, NY 10080","Manhattan","New York","New York","US","+12127320907","https://www.santambroeus.com/pages/location-brookfield-place","https://www.google.com/maps/search/?api=1&query=Sant%20Ambroeus%20Brookfield&query_place_id=ChIJBfPp9pNbwokRhmKBnSX-_bc",4.5,655,40.7138158,-74.0152083,true,true,true,true,true,true,true,true,true,true,true,100,"Excellent"
"Eataly","Gourmet grocery store","101 Liberty St, New York, NY 10007","Manhattan","New York","New York","US","+12128972895","https://www.eataly.com/us_en/stores/nyc-downtown/restaurants","https://www.google.com/maps/search/?api=1&query=Eataly&query_place_id=ChIJvx7i_BlawokRidb5WfdvqRM",4.2,6501,40.7103936,-74.0116665,true,true,false,true,true,true,true,true,true,false,true,82,"Excellent"
"ZAZA","American restaurant","104 Greenwich St, New York, NY 10006","Manhattan","New York","New York","US","+16468640040","https://zazadinernyc.com/?utm_source=google","https://www.google.com/maps/search/?api=1&query=ZAZA&query_place_id=ChIJRVYm7f1ZwokR2DcmGOSHUFc",4.5,1693,40.7084781,-74.013525,false,false,false,false,false,false,false,false,false,false,false,0,"No Website"
"NAR | Modern Turkish & Mediterranean","Turkish restaurant","34 E 20th St #3, New York, NY 10003","Manhattan","New York","New York","US","+19173883195","http://www.narrestaurant.nyc/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4021253192733080432","https://www.google.com/maps/search/?api=1&query=NAR%20%7C%20Modern%20Turkish%20%26%20Mediterranean&query_place_id=ChIJ8R5wA4RZwokRVizBFaqM9EA",4.7,816,40.7385358,-73.9887764,true,false,true,true,false,true,true,true,true,false,true,73,"Good"
"O'Hara's","American restaurant","120 Cedar St, New York, NY 10006","Manhattan","New York","New York","US","+12122673032","https://oharasrestaurantandpub.site/","https://www.google.com/maps/search/?api=1&query=O'Hara's&query_place_id=ChIJueUCrBBawokRiw9LMJFm0_o",4.6,5790,40.7095008,-74.0126642,true,true,true,true,true,true,true,true,false,false,true,82,"Excellent"
"La Mercerie","French restaurant","53 Howard St, New York, NY 10013","Manhattan","New York","New York","US","+12128529097","https://www.lamercerieny.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs","https://www.google.com/maps/search/?api=1&query=La%20Mercerie&query_place_id=ChIJ22wiSIpZwokRUmlXovJnWDI",4.3,1809,40.7201478,-74.0021708,true,true,true,true,false,true,true,true,true,true,false,82,"Excellent"
"1803 NYC","Cajun restaurant","82 Reade St, New York, NY 10007","Manhattan","New York","New York","US","+12122673000","https://1803nyc.com/","https://www.google.com/maps/search/?api=1&query=1803%20NYC&query_place_id=ChIJ0yKXaB9awokR6WFqdEE9aBY",4.5,2107,40.7154539,-74.0073301,true,true,true,true,false,true,true,true,true,true,true,91,"Excellent"
"Jiang Nan NYC","Chinese restaurant","103 Bowery, New York, NY 10002","Manhattan","New York","New York","US","+12127758998","https://jiangnanny.com/","https://www.google.com/maps/search/?api=1&query=Jiang%20Nan%20NYC&query_place_id=ChIJg0ZHaSRZwokRHymWtw9gKJk",4.8,2075,40.7175581,-73.9949693,true,true,true,true,true,true,true,true,true,false,true,91,"Excellent"
"Jack's Wife Freda","Mediterranean restaurant","226 Lafayette St, New York, NY 10012","Manhattan","New York","New York","US","+12125108550","https://jackswifefreda.com/","https://www.google.com/maps/search/?api=1&query=Jack's%20Wife%20Freda&query_place_id=ChIJA4i114hZwokRaqeyrmI80x0",4.4,5000,40.7221696,-73.9974602,true,true,true,true,true,true,true,true,true,true,true,100,"Excellent"
"Casa D'angelo New York","Fine dining restaurant","Between Hester &, 146 Mulberry Street, Grand St, New York, NY 10013","Manhattan","New York","NY","US","+12128048656","http://www.cangelomulberry.com/","https://www.google.com/maps/search/?api=1&query=Casa%20D'angelo%20New%20York&query_place_id=ChIJCxhnSohZwokRxmUkfrQWLfs",4.6,6437,40.7188063,-73.9972296,false,false,false,false,false,false,false,false,true,true,true,27,"Needs Improvement"
